Age,Health Challenge,Class Participation,Academic Performance before Jamb/Waec,Study Habits,Assignment/Homework Completion,Extracurricular Involvement,Disciplinary Issue,Attendance Status,Motivation for Jamb/Waec,Resource Access (1-3),Understanding of Material (1-3),Time Management (1-3),Tutorial Hours for Jamb/Waec,Daily Self Study Hours for Jamb/Waec,Jamb Score,Family Income Range,Parent Education Level,Living Conditions,Parent Engagement with School/Teachers,Exam Status
30,No,Moderate,Good,Average,Always,None,Yes,Regular,Low,2,1,2,22,10,196,Low,Primary,Moderate,Moderate,Fail
22,Yes,Active,Good,Poor,Always,Moderate,Yes,Regular,Low,2,3,3,1,5,381,High,Primary,Moderate,Low,Pass
19,No,Active,Poor,Average,Sometimes,None,No,Irregular,High,3,2,2,19,2,123,Medium,Tertiary,Good,Low,Fail
29,No,Rarely,Poor,Average,Always,None,No,Regular,High,1,2,3,50,9,193,High,Secondary,Poor,Low,Fail
18,No,Active,Excellent,Average,Rarely,High,No,Very Poor,Moderate,1,2,3,23,9,190,Medium,Primary,Good,Moderate,Fail
29,Yes,Moderate,Fair,Good,Rarely,None,No,Very Poor,Low,2,1,1,40,0,259,Medium,Tertiary,Poor,Low,Pass
27,Yes,Rarely,Fair,Poor,Always,Moderate,No,Regular,Low,1,2,3,52,3,139,High,Secondary,Poor,Low,Fail
22,No,Active,Good,Poor,Rarely,None,No,Regular,Low,2,1,3,39,5,278,Low,Primary,Good,Moderate,Pass
18,No,Rarely,Fair,Poor,Always,High,Yes,Irregular,Moderate,1,2,1,63,2,214,High,Secondary,Moderate,Moderate,Pass
25,No,Active,Good,Average,Rarely,High,No,Very Poor,Moderate,2,2,3,37,1,133,Medium,Primary,Good,Low,Fail
27,Yes,Moderate,Poor,Good,Sometimes,Moderate,No,Regular,High,1,3,1,37,8,351,High,Primary,Poor,High,Pass
17,Yes,Moderate,Poor,Good,Always,High,Yes,Irregular,Moderate,2,1,1,100,12,156,Medium,Primary,Poor,Moderate,Fail
29,Yes,Active,Good,Poor,Sometimes,Moderate,No,Regular,Moderate,2,1,3,72,1,122,High,Primary,Moderate,High,Fail
16,Yes,Active,Poor,Good,Always,None,Yes,Very Poor,Moderate,2,1,1,66,4,250,Low,Primary,Good,High,Pass
22,Yes,Moderate,Fair,Good,Always,Low,Yes,Very Poor,High,2,1,1,40,4,385,Low,Secondary,Moderate,Moderate,Pass
30,Yes,Moderate,Good,Average,Sometimes,None,No,Irregular,Moderate,3,1,3,18,4,337,High,Tertiary,Moderate,High,Pass
16,Yes,Moderate,Fair,Average,Rarely,Low,Yes,Regular,High,2,1,1,53,6,350,High,Primary,Poor,High,Pass
25,Yes,Moderate,Excellent,Poor,Sometimes,Moderate,Yes,Very Poor,Low,1,3,3,21,7,237,Medium,Secondary,Good,High,Pass
17,Yes,Moderate,Poor,Poor,Rarely,High,Yes,Regular,Moderate,3,1,3,51,3,352,High,Tertiary,Poor,Low,Pass
28,No,Moderate,Good,Average,Always,Moderate,No,Very Poor,High,1,2,2,68,1,111,High,Secondary,Poor,Low,Fail
25,Yes,Rarely,Excellent,Average,Sometimes,High,Yes,Irregular,Moderate,3,1,3,37,11,359,High,Secondary,Good,High,Pass
16,No,Rarely,Excellent,Poor,Always,High,Yes,Very Poor,High,2,2,2,39,0,224,Low,Tertiary,Moderate,Moderate,Pass
18,No,Active,Poor,Average,Rarely,High,No,Very Poor,Low,2,1,2,42,11,325,High,Secondary,Moderate,High,Pass
16,Yes,Moderate,Poor,Poor,Sometimes,None,Yes,Irregular,High,1,1,2,61,1,330,Medium,Secondary,Good,High,Pass
22,Yes,Moderate,Fair,Average,Sometimes,High,Yes,Irregular,Moderate,1,3,1,61,2,337,Low,Secondary,Good,Moderate,Pass
23,Yes,Active,Excellent,Average,Always,None,Yes,Regular,High,1,3,2,7,12,360,High,Primary,Moderate,Low,Pass
28,Yes,Rarely,Good,Poor,Rarely,Moderate,No,Irregular,Moderate,3,1,2,88,0,373,Low,Tertiary,Moderate,Low,Pass
18,No,Rarely,Excellent,Average,Always,None,No,Regular,Moderate,1,1,2,29,2,343,High,Secondary,Moderate,High,Pass
26,No,Rarely,Fair,Average,Rarely,Low,Yes,Irregular,Low,3,3,1,81,1,151,High,Secondary,Poor,Moderate,Fail
16,No,Moderate,Fair,Good,Sometimes,High,Yes,Regular,Low,3,2,3,57,11,308,Low,Primary,Good,Low,Pass
22,Yes,Moderate,Fair,Average,Sometimes,Low,No,Regular,Moderate,3,3,2,15,9,159,High,Secondary,Good,High,Fail
21,Yes,Active,Good,Good,Rarely,High,No,Very Poor,Moderate,3,1,2,83,7,359,Medium,Secondary,Poor,Moderate,Pass
22,No,Active,Fair,Good,Always,Moderate,Yes,Very Poor,Moderate,1,3,1,35,1,385,Low,Tertiary,Good,Low,Pass
22,Yes,Rarely,Poor,Average,Always,None,No,Regular,High,1,2,2,64,6,270,High,Tertiary,Poor,High,Pass
19,No,Rarely,Good,Poor,Always,High,No,Very Poor,Low,3,2,2,24,5,284,High,Primary,Poor,High,Pass
19,Yes,Active,Good,Average,Rarely,Moderate,No,Irregular,Low,2,2,2,36,1,381,High,Secondary,Good,High,Pass
27,Yes,Active,Excellent,Good,Sometimes,Low,Yes,Regular,High,3,3,2,73,11,112,High,Secondary,Poor,Moderate,Fail
20,Yes,Active,Fair,Average,Rarely,Low,No,Regular,Low,2,1,1,86,12,332,Medium,Primary,Poor,Low,Pass
17,No,Moderate,Excellent,Good,Sometimes,Moderate,Yes,Regular,Low,3,2,1,85,5,248,Medium,Primary,Moderate,Moderate,Pass
29,Yes,Rarely,Good,Average,Rarely,High,Yes,Irregular,High,3,3,2,71,11,399,Low,Primary,Moderate,High,Pass
19,Yes,Moderate,Poor,Good,Rarely,Low,Yes,Irregular,Low,3,3,3,73,8,348,Medium,Primary,Good,Low,Pass
22,No,Active,Fair,Poor,Always,Low,Yes,Irregular,Low,2,2,2,23,2,203,Medium,Secondary,Moderate,Moderate,Pass
29,No,Active,Excellent,Poor,Sometimes,High,No,Irregular,Moderate,3,3,2,30,0,195,Medium,Secondary,Poor,High,Fail
30,Yes,Moderate,Excellent,Good,Sometimes,Moderate,Yes,Irregular,Moderate,1,3,2,29,8,191,Medium,Secondary,Poor,Moderate,Fail
19,Yes,Active,Poor,Poor,Rarely,Moderate,Yes,Regular,High,2,2,3,57,12,271,High,Secondary,Moderate,Low,Pass
18,No,Active,Fair,Good,Rarely,Low,Yes,Regular,Moderate,2,2,1,31,6,201,Medium,Secondary,Moderate,High,Pass
27,Yes,Moderate,Poor,Average,Rarely,Low,No,Irregular,Low,2,3,2,20,5,116,Low,Secondary,Moderate,Low,Fail
24,Yes,Rarely,Good,Good,Rarely,Low,No,Irregular,Moderate,1,3,1,1,4,253,Low,Tertiary,Poor,High,Pass
27,Yes,Active,Fair,Average,Always,None,No,Very Poor,High,2,1,1,53,10,320,Medium,Secondary,Poor,High,Pass
23,No,Rarely,Excellent,Average,Sometimes,High,No,Regular,Low,2,1,3,59,2,379,High,Secondary,Moderate,High,Pass
27,Yes,Active,Excellent,Poor,Rarely,Moderate,Yes,Regular,Moderate,1,2,1,13,10,109,Medium,Secondary,Moderate,Low,Fail
30,Yes,Rarely,Fair,Poor,Always,High,Yes,Very Poor,Moderate,1,2,3,56,6,260,High,Tertiary,Poor,High,Pass
23,Yes,Moderate,Fair,Poor,Sometimes,None,No,Regular,Moderate,3,3,2,36,11,320,Low,Tertiary,Poor,High,Pass
21,No,Active,Poor,Average,Sometimes,Low,Yes,Regular,Moderate,3,2,3,69,0,153,Low,Secondary,Good,High,Fail
28,No,Rarely,Good,Poor,Rarely,None,Yes,Very Poor,Low,2,1,1,35,3,183,Medium,Secondary,Moderate,Moderate,Fail
30,Yes,Moderate,Good,Average,Always,Moderate,No,Irregular,Moderate,2,1,1,44,11,253,High,Tertiary,Good,Low,Pass
21,No,Rarely,Excellent,Poor,Always,None,No,Irregular,Moderate,1,1,3,89,1,256,Low,Tertiary,Good,High,Pass
29,No,Active,Fair,Poor,Sometimes,Moderate,Yes,Very Poor,High,3,3,3,51,4,309,High,Tertiary,Poor,Moderate,Pass
28,Yes,Active,Good,Average,Always,High,Yes,Irregular,Moderate,1,1,2,14,2,137,Low,Tertiary,Moderate,Low,Fail
29,No,Rarely,Good,Poor,Rarely,None,Yes,Regular,Low,1,2,2,62,12,202,Low,Tertiary,Good,Moderate,Pass
20,Yes,Active,Excellent,Average,Rarely,Moderate,No,Irregular,Low,3,1,1,5,1,159,Low,Tertiary,Moderate,High,Fail
22,Yes,Active,Excellent,Poor,Rarely,Moderate,Yes,Irregular,High,3,1,2,57,0,214,Medium,Secondary,Moderate,High,Pass
26,Yes,Active,Good,Good,Rarely,Low,Yes,Irregular,Moderate,3,2,1,97,4,200,Low,Secondary,Poor,Moderate,Pass
26,No,Moderate,Fair,Poor,Rarely,Low,No,Regular,Moderate,2,3,2,45,2,328,High,Primary,Moderate,Moderate,Pass
27,No,Rarely,Fair,Good,Rarely,High,No,Irregular,Moderate,3,3,1,62,5,212,Low,Tertiary,Moderate,Moderate,Pass
18,Yes,Rarely,Fair,Poor,Always,None,Yes,Irregular,Moderate,1,3,1,69,2,204,Low,Secondary,Moderate,Low,Pass
20,Yes,Active,Good,Average,Rarely,High,Yes,Regular,High,3,3,2,83,5,247,Medium,Tertiary,Poor,High,Pass
29,Yes,Active,Good,Average,Rarely,Low,Yes,Irregular,Moderate,2,2,1,87,12,154,Low,Secondary,Good,Moderate,Fail
16,Yes,Moderate,Poor,Average,Always,None,No,Regular,Low,3,1,1,78,5,135,High,Tertiary,Moderate,High,Fail
21,No,Rarely,Good,Poor,Always,Moderate,No,Regular,Moderate,3,3,1,54,0,350,Medium,Primary,Moderate,Moderate,Pass
18,No,Rarely,Fair,Poor,Rarely,High,Yes,Irregular,Low,1,3,1,27,1,375,Medium,Tertiary,Poor,Moderate,Pass
17,No,Active,Good,Poor,Rarely,Moderate,No,Very Poor,Low,1,2,1,75,2,370,High,Secondary,Poor,Low,Pass
16,Yes,Active,Good,Average,Always,Moderate,No,Irregular,Moderate,3,1,2,100,3,118,Medium,Tertiary,Poor,Moderate,Fail
20,No,Moderate,Fair,Poor,Sometimes,Low,No,Irregular,High,2,2,2,28,5,194,Low,Secondary,Poor,High,Fail
17,No,Moderate,Poor,Average,Sometimes,None,No,Irregular,Low,1,2,1,73,2,144,Low,Secondary,Good,Low,Fail
24,Yes,Active,Fair,Good,Always,Moderate,No,Irregular,Moderate,3,1,1,18,4,260,High,Primary,Good,Moderate,Pass
30,No,Active,Fair,Average,Sometimes,None,Yes,Very Poor,High,3,1,3,72,2,155,Low,Secondary,Good,Low,Fail
26,Yes,Moderate,Fair,Good,Sometimes,None,No,Irregular,Low,3,1,2,29,4,101,Low,Tertiary,Poor,Low,Fail
16,No,Active,Excellent,Average,Sometimes,None,No,Regular,Low,1,2,1,42,9,390,Medium,Secondary,Moderate,Low,Pass
25,No,Moderate,Poor,Poor,Always,High,No,Irregular,High,2,3,2,30,0,314,Medium,Tertiary,Poor,Moderate,Pass
25,No,Rarely,Excellent,Good,Always,High,Yes,Irregular,Low,3,3,1,66,3,378,Medium,Secondary,Moderate,High,Pass
21,Yes,Active,Poor,Average,Always,Moderate,No,Very Poor,Moderate,3,1,2,97,9,263,Low,Tertiary,Poor,High,Pass
27,No,Active,Excellent,Poor,Rarely,Moderate,Yes,Very Poor,High,2,1,2,76,0,182,Low,Secondary,Poor,Moderate,Fail
28,Yes,Moderate,Poor,Average,Sometimes,High,No,Regular,High,3,3,3,64,12,223,Medium,Secondary,Moderate,Low,Pass
26,No,Moderate,Good,Good,Rarely,High,Yes,Very Poor,Low,1,2,2,70,11,316,Medium,Tertiary,Poor,Low,Pass
16,Yes,Rarely,Fair,Poor,Rarely,Moderate,Yes,Very Poor,Low,1,3,2,31,4,380,Medium,Secondary,Good,Moderate,Pass
22,No,Moderate,Poor,Average,Sometimes,None,No,Regular,Low,1,3,3,9,11,167,Low,Secondary,Poor,High,Fail
21,Yes,Rarely,Fair,Poor,Always,None,No,Very Poor,Low,3,2,2,47,0,104,High,Secondary,Poor,Moderate,Fail
26,No,Moderate,Poor,Good,Rarely,Moderate,Yes,Regular,High,1,3,3,39,5,310,Medium,Tertiary,Poor,High,Pass
23,No,Active,Fair,Poor,Rarely,Low,Yes,Very Poor,High,3,3,2,62,3,279,Medium,Tertiary,Poor,Low,Pass
22,Yes,Rarely,Poor,Average,Sometimes,Moderate,Yes,Very Poor,Moderate,1,3,3,12,3,391,Medium,Secondary,Poor,Moderate,Pass
21,No,Rarely,Poor,Poor,Always,High,Yes,Regular,Low,2,1,1,49,9,121,Medium,Tertiary,Moderate,Moderate,Fail
23,No,Active,Good,Good,Always,Moderate,Yes,Very Poor,Low,1,2,3,67,5,179,High,Tertiary,Good,Moderate,Fail
28,No,Moderate,Fair,Good,Always,Moderate,Yes,Regular,Low,2,3,2,18,5,202,High,Tertiary,Good,Moderate,Pass
22,No,Rarely,Poor,Good,Sometimes,None,Yes,Regular,Moderate,2,2,3,21,1,368,Low,Tertiary,Poor,Low,Pass
20,Yes,Moderate,Fair,Average,Rarely,High,Yes,Very Poor,High,3,3,2,97,8,232,High,Primary,Moderate,High,Pass
21,Yes,Active,Good,Good,Sometimes,Low,Yes,Very Poor,High,3,1,3,100,6,377,Medium,Primary,Poor,Moderate,Pass
30,No,Active,Good,Average,Rarely,Low,Yes,Regular,High,2,1,1,95,6,257,Low,Primary,Moderate,High,Pass
18,Yes,Moderate,Poor,Poor,Rarely,High,Yes,Irregular,Moderate,3,1,3,58,7,327,Low,Secondary,Moderate,High,Pass
30,No,Active,Excellent,Poor,Always,Moderate,No,Irregular,Moderate,3,2,1,91,2,141,Low,Tertiary,Good,High,Fail
28,No,Rarely,Fair,Average,Sometimes,Moderate,No,Irregular,Moderate,1,2,1,22,0,154,High,Tertiary,Good,Moderate,Fail
16,Yes,Rarely,Fair,Poor,Rarely,None,Yes,Irregular,Low,3,1,1,66,12,384,Medium,Secondary,Poor,High,Pass
30,Yes,Rarely,Fair,Average,Sometimes,None,No,Irregular,Moderate,2,1,2,52,2,102,High,Tertiary,Poor,Moderate,Fail
23,No,Active,Excellent,Good,Always,None,No,Very Poor,Moderate,3,1,3,91,12,253,Low,Primary,Poor,Moderate,Pass
25,No,Rarely,Fair,Poor,Always,Low,No,Irregular,Moderate,3,2,2,89,5,148,Low,Primary,Moderate,Low,Fail
24,Yes,Rarely,Poor,Good,Rarely,None,Yes,Very Poor,Moderate,3,3,2,59,11,230,Medium,Tertiary,Good,Low,Pass
21,Yes,Rarely,Fair,Average,Always,Low,Yes,Irregular,Moderate,1,3,1,81,10,280,Medium,Primary,Poor,Moderate,Pass
27,Yes,Moderate,Poor,Average,Always,Moderate,No,Regular,Moderate,3,3,2,23,12,175,Medium,Primary,Poor,High,Fail
29,No,Moderate,Fair,Poor,Sometimes,Moderate,Yes,Very Poor,Moderate,1,1,1,77,12,263,High,Tertiary,Poor,Low,Pass
29,Yes,Moderate,Poor,Good,Rarely,Low,Yes,Regular,High,3,2,3,30,10,245,High,Secondary,Poor,Moderate,Pass
23,No,Moderate,Good,Poor,Sometimes,None,No,Very Poor,Moderate,1,3,1,94,5,303,Low,Primary,Good,Moderate,Pass
28,Yes,Moderate,Poor,Average,Always,High,No,Very Poor,Moderate,2,3,1,60,1,243,Low,Secondary,Poor,Moderate,Pass
19,No,Rarely,Fair,Good,Rarely,Low,Yes,Very Poor,High,1,2,1,46,6,386,Medium,Primary,Good,Low,Pass
16,Yes,Rarely,Good,Average,Rarely,High,Yes,Regular,High,3,1,1,3,4,246,Low,Primary,Moderate,High,Pass
24,No,Moderate,Excellent,Poor,Sometimes,None,No,Regular,High,1,3,1,42,11,173,High,Secondary,Moderate,High,Fail
25,No,Rarely,Good,Good,Rarely,High,No,Regular,Moderate,3,3,1,93,10,311,Low,Secondary,Poor,Low,Pass
22,Yes,Rarely,Good,Good,Sometimes,Moderate,No,Very Poor,High,3,1,3,99,11,317,Low,Primary,Poor,Moderate,Pass
20,Yes,Rarely,Poor,Average,Sometimes,High,No,Regular,Moderate,1,2,1,95,8,214,High,Secondary,Poor,Low,Pass
30,No,Active,Fair,Average,Sometimes,Low,Yes,Very Poor,Low,3,1,2,28,10,312,Medium,Tertiary,Poor,Low,Pass
16,No,Rarely,Good,Poor,Rarely,Moderate,Yes,Very Poor,Moderate,1,1,1,17,7,313,Low,Secondary,Good,High,Pass
30,Yes,Moderate,Good,Poor,Always,Moderate,No,Regular,Moderate,1,2,2,55,9,186,High,Secondary,Good,Low,Fail
29,No,Rarely,Poor,Good,Always,Moderate,Yes,Regular,Low,1,2,1,64,9,183,High,Primary,Poor,High,Fail
18,No,Active,Excellent,Good,Rarely,Low,No,Very Poor,High,2,2,1,79,12,335,Medium,Secondary,Good,Low,Pass
21,Yes,Moderate,Good,Good,Sometimes,None,Yes,Irregular,Moderate,1,1,1,65,0,118,Low,Tertiary,Moderate,Low,Fail
22,No,Rarely,Poor,Good,Sometimes,High,Yes,Regular,High,2,3,3,72,3,116,Medium,Primary,Moderate,High,Fail
30,Yes,Moderate,Good,Good,Rarely,High,Yes,Irregular,Low,3,1,1,2,3,136,High,Tertiary,Moderate,Moderate,Fail
19,No,Rarely,Excellent,Poor,Sometimes,Low,No,Irregular,Moderate,3,3,2,49,8,190,Low,Tertiary,Poor,High,Fail
23,No,Active,Excellent,Poor,Sometimes,Moderate,Yes,Very Poor,High,1,2,3,66,8,233,High,Primary,Good,Low,Pass
26,Yes,Active,Excellent,Good,Always,None,Yes,Irregular,Moderate,3,2,2,63,3,270,High,Primary,Poor,Low,Pass
25,Yes,Rarely,Fair,Good,Sometimes,High,Yes,Very Poor,High,2,2,1,65,0,342,Medium,Primary,Moderate,High,Pass
21,No,Active,Good,Average,Always,Low,No,Regular,Moderate,3,3,3,24,6,312,Medium,Primary,Moderate,High,Pass
16,No,Moderate,Good,Average,Sometimes,High,No,Irregular,High,1,2,3,64,11,331,Low,Secondary,Poor,Low,Pass
17,No,Moderate,Excellent,Good,Rarely,None,Yes,Regular,Moderate,1,3,1,29,6,373,Medium,Secondary,Good,High,Pass
22,Yes,Rarely,Poor,Good,Sometimes,None,No,Very Poor,High,2,1,2,100,12,184,Medium,Primary,Good,Low,Fail
21,No,Rarely,Good,Average,Always,None,No,Regular,Low,1,3,1,4,10,101,Low,Tertiary,Good,High,Fail
24,No,Active,Fair,Average,Sometimes,Moderate,No,Very Poor,High,2,3,1,91,0,223,High,Tertiary,Good,Low,Pass
25,No,Moderate,Excellent,Good,Always,Low,No,Regular,Moderate,1,3,3,60,7,329,Medium,Secondary,Poor,High,Pass
26,No,Rarely,Good,Good,Rarely,Low,No,Very Poor,Moderate,1,2,3,27,2,296,Low,Secondary,Poor,Low,Pass
28,Yes,Rarely,Poor,Poor,Rarely,High,No,Very Poor,Moderate,2,1,3,45,5,227,High,Tertiary,Moderate,Moderate,Pass
27,Yes,Active,Poor,Average,Rarely,Low,Yes,Very Poor,Low,3,1,2,35,7,275,Low,Secondary,Moderate,High,Pass
17,No,Moderate,Fair,Poor,Always,None,Yes,Irregular,Moderate,3,1,2,90,6,358,High,Secondary,Good,Moderate,Pass
24,Yes,Rarely,Fair,Average,Rarely,High,Yes,Irregular,Moderate,3,3,3,7,11,367,Medium,Secondary,Poor,Moderate,Pass
27,No,Rarely,Fair,Poor,Sometimes,None,Yes,Irregular,Low,1,1,3,81,1,348,High,Tertiary,Poor,Moderate,Pass
18,Yes,Active,Good,Average,Sometimes,Moderate,No,Very Poor,High,2,2,1,38,9,171,Low,Primary,Moderate,High,Fail
23,No,Moderate,Good,Good,Sometimes,High,Yes,Irregular,Low,3,1,1,62,5,234,Medium,Tertiary,Good,Low,Pass
25,Yes,Rarely,Excellent,Average,Sometimes,Moderate,Yes,Regular,High,3,1,1,34,11,153,Medium,Tertiary,Moderate,Low,Fail
30,Yes,Moderate,Excellent,Poor,Rarely,High,No,Very Poor,Low,2,2,2,36,2,145,High,Secondary,Good,Low,Fail
27,Yes,Rarely,Fair,Good,Always,None,Yes,Irregular,Low,1,3,1,19,2,333,Low,Tertiary,Moderate,Moderate,Pass
21,No,Moderate,Poor,Average,Always,Moderate,No,Irregular,Moderate,1,1,2,90,8,266,Medium,Primary,Poor,High,Pass
21,Yes,Moderate,Fair,Average,Rarely,High,No,Very Poor,Moderate,2,3,3,82,1,381,Medium,Tertiary,Good,Low,Pass
20,Yes,Rarely,Fair,Average,Rarely,Low,Yes,Regular,Low,1,3,1,99,3,110,Medium,Primary,Moderate,Moderate,Fail
18,Yes,Moderate,Excellent,Poor,Rarely,Moderate,Yes,Regular,Moderate,2,3,3,50,3,266,Medium,Secondary,Moderate,High,Pass
29,No,Moderate,Good,Average,Always,None,Yes,Irregular,Low,2,1,2,12,12,368,Low,Secondary,Poor,Moderate,Pass
28,No,Moderate,Fair,Good,Rarely,Moderate,No,Regular,High,3,2,2,19,9,153,High,Tertiary,Poor,High,Fail
20,No,Moderate,Good,Poor,Rarely,None,No,Irregular,Moderate,3,3,3,78,4,212,Medium,Primary,Good,High,Pass
16,Yes,Moderate,Excellent,Good,Sometimes,None,No,Irregular,Moderate,3,3,1,52,8,134,Low,Primary,Good,High,Fail
26,Yes,Rarely,Good,Good,Always,None,No,Very Poor,Moderate,3,2,1,2,1,295,Medium,Tertiary,Poor,High,Pass
19,No,Rarely,Good,Good,Sometimes,High,No,Regular,High,3,1,3,13,7,127,Low,Secondary,Good,High,Fail
18,No,Moderate,Poor,Good,Rarely,High,Yes,Irregular,Moderate,1,1,2,29,6,155,High,Secondary,Good,Low,Fail
23,Yes,Moderate,Fair,Average,Always,High,Yes,Regular,Moderate,1,3,2,95,6,114,High,Tertiary,Good,Moderate,Fail
26,Yes,Rarely,Poor,Good,Sometimes,None,No,Irregular,Low,2,1,1,66,5,202,Medium,Secondary,Good,High,Pass
20,No,Rarely,Poor,Poor,Sometimes,Low,Yes,Regular,Moderate,1,2,3,99,12,213,Low,Primary,Moderate,Moderate,Pass
24,No,Moderate,Fair,Average,Sometimes,None,No,Irregular,High,1,1,1,51,10,253,Medium,Secondary,Moderate,Moderate,Pass
30,Yes,Rarely,Poor,Average,Always,None,No,Regular,Low,2,2,2,20,2,183,High,Secondary,Poor,High,Fail
25,Yes,Rarely,Good,Average,Rarely,Moderate,Yes,Very Poor,Low,3,3,1,98,5,167,High,Secondary,Moderate,High,Fail
24,Yes,Rarely,Poor,Average,Sometimes,Moderate,Yes,Irregular,Moderate,1,1,3,58,7,191,Medium,Primary,Good,Moderate,Fail
24,Yes,Active,Fair,Poor,Sometimes,High,Yes,Regular,Low,3,3,1,78,5,274,Medium,Tertiary,Good,Moderate,Pass
27,Yes,Active,Excellent,Average,Sometimes,Low,Yes,Irregular,Moderate,2,1,3,27,9,227,High,Tertiary,Poor,Low,Pass
25,Yes,Active,Fair,Average,Sometimes,High,No,Irregular,Moderate,3,2,2,26,9,156,High,Primary,Good,Moderate,Fail
18,No,Moderate,Good,Good,Sometimes,Low,No,Very Poor,Low,2,3,3,48,8,210,Low,Tertiary,Poor,High,Pass
20,No,Moderate,Good,Average,Sometimes,High,No,Irregular,Moderate,3,1,3,90,12,367,Medium,Primary,Good,High,Pass
24,No,Active,Fair,Poor,Always,Moderate,Yes,Regular,Moderate,2,3,3,100,0,122,High,Primary,Good,High,Fail
28,Yes,Rarely,Fair,Average,Sometimes,High,No,Regular,High,2,2,3,54,6,314,High,Tertiary,Moderate,Moderate,Pass
26,Yes,Moderate,Poor,Good,Always,Low,No,Very Poor,High,2,2,3,5,12,179,High,Primary,Poor,High,Fail
21,Yes,Moderate,Excellent,Average,Rarely,None,No,Regular,High,2,1,3,57,11,301,Medium,Primary,Good,Low,Pass
21,No,Rarely,Good,Poor,Rarely,High,No,Very Poor,High,2,1,3,49,2,245,High,Secondary,Moderate,Moderate,Pass
21,Yes,Rarely,Poor,Good,Rarely,Low,Yes,Irregular,High,2,1,2,74,10,188,High,Secondary,Moderate,Low,Fail
16,Yes,Rarely,Good,Poor,Always,None,Yes,Irregular,Moderate,2,1,1,16,6,323,High,Primary,Good,Moderate,Pass
30,Yes,Rarely,Excellent,Poor,Always,High,Yes,Very Poor,Low,2,3,2,84,1,379,Medium,Primary,Good,High,Pass
28,Yes,Moderate,Good,Good,Sometimes,Low,No,Very Poor,Moderate,3,3,1,97,4,151,High,Primary,Moderate,High,Fail
29,Yes,Active,Excellent,Average,Always,High,No,Irregular,High,3,3,3,82,0,118,High,Tertiary,Good,High,Fail
25,No,Rarely,Good,Average,Always,High,No,Regular,Low,2,3,3,39,6,378,Medium,Primary,Moderate,Low,Pass
19,Yes,Rarely,Fair,Average,Always,Moderate,Yes,Very Poor,High,1,2,1,7,9,161,High,Primary,Good,High,Fail
25,Yes,Rarely,Good,Good,Always,Low,No,Regular,Moderate,2,2,3,96,7,276,High,Primary,Moderate,Moderate,Pass
20,No,Moderate,Good,Good,Sometimes,Low,No,Very Poor,Low,3,2,1,41,12,135,Medium,Tertiary,Moderate,Low,Fail
23,Yes,Active,Good,Average,Sometimes,Moderate,Yes,Very Poor,High,3,2,2,18,0,100,High,Primary,Poor,Low,Fail
19,No,Moderate,Poor,Good,Sometimes,Low,No,Irregular,Low,2,1,3,37,9,165,High,Tertiary,Poor,High,Fail
22,No,Moderate,Fair,Good,Sometimes,Low,Yes,Irregular,Low,1,1,2,56,8,269,High,Secondary,Good,Moderate,Pass
29,Yes,Moderate,Excellent,Average,Always,None,Yes,Irregular,Moderate,3,3,3,89,12,180,High,Secondary,Good,High,Fail
21,Yes,Moderate,Poor,Good,Rarely,Low,Yes,Irregular,Moderate,1,3,2,24,10,153,Medium,Secondary,Good,Low,Fail
23,No,Rarely,Excellent,Poor,Rarely,Low,Yes,Very Poor,Low,1,2,2,5,4,296,High,Primary,Moderate,Moderate,Pass
28,No,Moderate,Fair,Good,Always,None,No,Very Poor,High,2,1,3,41,5,292,Low,Secondary,Poor,Low,Pass
19,Yes,Active,Poor,Average,Sometimes,Moderate,Yes,Irregular,Moderate,3,3,3,68,5,361,Medium,Secondary,Good,High,Pass
19,Yes,Moderate,Fair,Average,Sometimes,None,No,Irregular,Low,1,1,1,11,2,119,Low,Secondary,Poor,Low,Fail
17,Yes,Active,Fair,Average,Rarely,Low,Yes,Irregular,High,1,1,2,71,1,279,High,Tertiary,Poor,Low,Pass
23,No,Active,Good,Average,Sometimes,None,Yes,Regular,Moderate,2,2,3,46,8,153,Low,Primary,Moderate,Low,Fail
27,No,Moderate,Fair,Good,Rarely,Low,No,Irregular,High,2,1,1,97,1,311,Medium,Secondary,Poor,High,Pass
24,No,Active,Fair,Good,Rarely,High,No,Regular,Moderate,1,1,3,82,9,146,Medium,Tertiary,Moderate,Moderate,Fail
23,No,Active,Excellent,Average,Always,Low,No,Very Poor,Moderate,1,3,3,98,1,390,Medium,Primary,Moderate,Moderate,Pass
19,No,Rarely,Good,Average,Rarely,Low,Yes,Regular,High,1,2,1,49,7,117,Medium,Tertiary,Good,Moderate,Fail
21,No,Rarely,Poor,Good,Sometimes,None,No,Regular,High,1,1,2,66,8,104,Low,Tertiary,Poor,Low,Fail
27,Yes,Active,Poor,Good,Sometimes,Moderate,No,Irregular,Low,2,2,1,40,2,205,Low,Tertiary,Good,High,Pass
19,No,Rarely,Fair,Poor,Always,Low,Yes,Irregular,Low,1,1,1,40,0,205,Medium,Secondary,Poor,Moderate,Pass
24,No,Moderate,Poor,Good,Rarely,None,Yes,Irregular,High,3,2,2,93,5,258,Low,Secondary,Moderate,Low,Pass
28,No,Active,Excellent,Good,Sometimes,Moderate,No,Very Poor,Low,2,2,3,36,6,133,Low,Tertiary,Good,Moderate,Fail
